STATEFIPS,STATE,ZIPCODE,AGI_STUB,No_of_Returns,AGI,Returns__Tot_Income,Tot_Income,Returns_Sal_Wages,Sal_Wages_Amt
6,CA,92399,5,24760.0,1773169.0,24760.0,1793228.0,20450.0,1266940.0
6,CA,92401,1,670.0,18595.0,670.0,18851.0002,570.0,15041.0
6,CA,92404,5,26030.0,1039804.0,26030.0,1047328.0,23020.0,859096.0
6,CA,92405,2,13200.0,499713.0,13200.0,503473.0001,11680.0,425846.0
6,CA,92407,5,28350.0,1459479.0,28350.0,1470998.0,25190.0,1253079.0
6,CA,92408,1,5630.0,248483.0,5630.0,250580.0001,4980.0,189186.0
6,CA,92410,3,20000.0,628691.0,20000.0,632713.0,17960.0,563550.0
6,CA,92411,2,11430.0,370887.0,11430.0,373077.0,10140.0,324458.0
6,CA,92501,2,9580.0,473386.0,9580.0,477684.0,8420.0,388794.0
6,CA,92503,6,40320.0,2298381.0,40320.0,2321919.0,35310.0,1864704.0
6,CA,92504,5,24650.0,1410585.0,24650.0,1424649.0,20850.0,1061461.0
6,CA,92505,5,22570.0,1097489.0,22570.0,1107590.0,19780.0,927687.0
6,CA,92506,6,21420.0,2116409.0,21420.0,2144557.0,17000.0,1256592.0
6,CA,92507,5,24010.0,1215245.0,24010.0,1226061.0,21300.0,968868.0
6,CA,92508,5,15920.0,1298271.0,15920.0,1313691.0,13670.0,1035727.0
6,CA,92509,5,34540.0,1649705.0,34540.0,1664016.0,30110.0,1383675.0
6,CA,92518,1,460.0,38446.0,460.0,38554.0004,250.0,12121.0
6,CA,92530,5,24700.0,1245768.0,24700.0,1256366.0,21570.0,1051701.0
6,CA,92532,4,11450.0,756943.0,11450.0,763977.0,9990.0,640788.0
6,CA,92536,1,1420.0,86330.0,1420.0,87313.0001,970.0,51316.0
6,CA,92539,1,1570.0,67412.0,1570.0,68260.0,1090.0,45347.0
6,CA,92543,3,14530.0,524358.0,14530.0,528518.0,12160.0,420566.0
6,CA,92544,4,19940.0,997304.0,19940.0,1007177.0,16560.0,722105.0
6,CA,92545,4,17930.0,844568.0,17930.0,851398.0,13240.0,566421.0
6,CA,92548,1,2740.0,107627.0,2740.0,108653.0,2270.0,87196.0
6,CA,92551,3,14630.0,629284.0,14630.0,633851.0001,13130.0,557718.0
6,CA,92553,5,32740.0,1253326.0,32740.0,1262270.0001,29400.0,1110447.0
6,CA,92555,5,19290.0,1100593.0,19290.0,1109649.0,16740.0,910364.0
6,CA,92557,5,24600.0,1233836.0,24600.0,1243925.0,21430.0,1014509.0
6,CA,92561,1,680.0,64398.0,680.0,65186.0001,460.0,32689.0
6,CA,92562,6,28750.0,2429736.0,28750.0,2460167.0,23300.0,1664916.0
